port,port_state,protocol,rtt_ms,ttl,os_fingerprint,banner_text,icmp_blocked,rst_received,filtered_port_count,open_port_count,total_ports_scanned,firewall_present,firewall_type,best_bypass_flag
25,filtered,tcp,163.39,249,Cisco IOS,,1,0,647,10,840,1,cisco_acl,http_source_port
25,filtered,tcp,259.83,47,Linux 3.x,,0,0,184,5,280,1,iptables,null_scan
3306,filtered,tcp,105.54,53,Linux 4.x/5.x,,1,0,408,4,470,1,aws_waf,slow_scan
5432,open,tcp,100.01,61,Linux 4.x/5.x,PostgreSQL 14.2,0,0,0,31,629,0,none,connect_scan
873,filtered,tcp,26.43,52,Unknown,,1,0,93,2,142,1,iptables,fin_scan
27017,filtered,tcp,36.16,56,Linux 5.x,,1,0,176,1,209,1,cloudflare,stealth_syn
445,filtered,tcp,91.32,48,Linux 4.x/5.x,,1,0,45,0,64,1,aws_waf,fragment
110,filtered,tcp,278.66,52,Unknown,,0,0,459,11,781,1,pf_bsd,null_scan
1521,filtered,tcp,33.62,51,Windows Server 2019,,1,0,235,9,450,1,iptables,xmas_scan
5432,open,tcp,180.01,54,Linux 4.x/5.x,PostgreSQL 14.2,1,0,175,2,264,1,aws_waf,fragment
143,filtered,tcp,63.23,48,Linux 5.x,,1,0,646,5,704,1,cloudflare,stealth_syn
6379,filtered,tcp,91.83,56,Linux 4.x/5.x,,1,0,187,2,268,1,aws_waf,decoy_scan
80,filtered,tcp,163.54,47,Linux 3.x,,1,0,95,3,171,1,iptables,fin_scan
8080,filtered,tcp,332.56,51,macOS 12,,1,0,357,8,584,1,pf_bsd,ack_scan
143,filtered,tcp,185.91,241,Unknown,,1,0,392,6,482,1,cisco_acl,http_source_port
143,filtered,tcp,44.43,50,Linux 4.x/5.x,,1,0,146,1,183,1,cloudflare,fragment
443,filtered,tcp,64.92,50,Cisco IOS,,0,0,625,19,969,1,iptables,null_scan
1433,open,tcp,25.2,54,Linux 4.x/5.x,,0,0,0,24,487,0,none,connect_scan
443,filtered,tcp,164.78,240,Unknown,,0,0,50,0,64,1,cisco_acl,https_source_port
6379,filtered,tcp,73.11,38,Unknown,,1,0,289,2,320,1,cloudflare,stealth_syn
1433,filtered,tcp,44.6,52,Linux 4.x/5.x,,1,0,356,2,469,1,ids_ips,decoy_scan
5900,filtered,tcp,43.24,56,Unknown,,0,0,635,14,947,1,pf_bsd,null_scan
