port,service,framework,recommended_nuclei_tags
27017,db,React,"cve,sqli"
8080,http,Django,"panel,misconfig"
27017,db,Django,"cve,sqli"
6379,db,Unknown,"cve,sqli"
80,http,Express,"cve,rce"
80,http,Node.js,"cve,rce"
6379,db,Laravel,"cve,sqli"
21,ftp,Unknown,"network,default-login"
22,ssh,Vue,"network,default-login"
5432,db,Vue,"cve,sqli"
8080,http,ASP.NET,"panel,misconfig"
3306,db,Node.js,"cve,sqli"
80,http,React,"panel,misconfig"
22,ssh,Django,"network,default-login"
8080,http,Express,"cve,rce"
6379,db,Express,"cve,sqli"
80,http,WordPress,"wordpress,plugin"
22,ssh,Vue,"network,default-login"
22,ssh,Unknown,"network,default-login"
3306,db,Laravel,"cve,sqli"
443,http,Laravel,"panel,misconfig"
27017,db,Django,"cve,sqli"
27017,db,Spring_Boot,"cve,sqli"
3306,db,Laravel,"cve,sqli"
6379,db,ASP.NET,"cve,sqli"
27017,db,Express,"cve,sqli"
6379,db,ASP.NET,"cve,sqli"
8080,http,Spring_Boot,"cve,rce"
27017,db,Spring_Boot,"cve,sqli"
5432,db,Unknown,"cve,sqli"
8080,http,ASP.NET,"cve,rce"
6379,db,Node.js,"cve,sqli"
443,http,React,"cve,rce"
3306,db,Unknown,"cve,sqli"
80,http,React,"cve,rce"
443,http,Spring_Boot,"panel,misconfig"
443,http,Spring_Boot,"cve,rce"
3306,db,Node.js,"cve,sqli"
21,ftp,Vue,"network,default-login"
27017,db,Express,"cve,sqli"
80,http,Express,"panel,misconfig"
8080,http,ASP.NET,"panel,misconfig"
27017,db,ASP.NET,"cve,sqli"
21,ftp,Unknown,"network,default-login"
8080,http,WordPress,"wordpress,plugin"
3306,db,Laravel,"cve,sqli"
80,http,Express,"panel,misconfig"
5432,db,Node.js,"cve,sqli"
21,ftp,Node.js,"network,default-login"
8080,http,Unknown,"panel,misconfig"
5432,db,ASP.NET,"cve,sqli"
6379,db,Express,"cve,sqli"
443,http,Laravel,"panel,misconfig"
22,ssh,React,"network,default-login"
6379,db,WordPress,"cve,sqli"
3306,db,Vue,"cve,sqli"
443,http,ASP.NET,"panel,misconfig"
22,ssh,Node.js,"network,default-login"
5432,db,WordPress,"cve,sqli"
80,http,Unknown,"cve,rce"
3306,db,Vue,"cve,sqli"
80,http,ASP.NET,"cve,rce"
27017,db,Django,"cve,sqli"
27017,db,Laravel,"cve,sqli"
22,ssh,Vue,"network,default-login"
27017,db,React,"cve,sqli"
80,http,Vue,"panel,misconfig"
21,ftp,Django,"network,default-login"
5432,db,Unknown,"cve,sqli"
22,ssh,Vue,"network,default-login"
5432,db,Node.js,"cve,sqli"
80,http,ASP.NET,"cve,rce"
