server_header,status_code,has_waf_cookie,content_length,waf_detected,predicted_framework
cloudflare,403,1,13622,Cloudflare,Laravel
Microsoft-IIS/10.0,301,0,47758,None,WordPress
BigIP,301,1,11616,F5_BIG_IP,Unknown
cloudflare-nginx,404,1,12666,Cloudflare,Unknown
BigIP,403,1,47409,F5_BIG_IP,React
cloudflare-nginx,500,1,3171,Cloudflare,Vue
Incapsula,302,1,26627,Imperva,Vue
cloudflare-nginx,301,1,19838,Cloudflare,Laravel
Incapsula,404,1,10151,Imperva,ASP.NET
BigIP,200,1,38287,F5_BIG_IP,Django
AmazonS3,302,1,11728,AWS_WAF,Node.js
cloudflare-nginx,200,1,16218,Cloudflare,Django
BigIP,500,1,8911,F5_BIG_IP,Node.js
cloudflare-nginx,302,1,46512,Cloudflare,Laravel
Sucuri/Cloudproxy,403,1,21216,Sucuri,Spring_Boot
Sucuri/Cloudproxy,302,1,12709,Sucuri,ASP.NET
Incapsula,500,1,30945,Imperva,ASP.NET
nginx/1.18.0,500,1,8270,ModSecurity,React
LiteSpeed,302,0,15663,None,WordPress
AmazonS3,200,1,911,AWS_WAF,React
nginx/1.18.0,302,0,45760,None,Django
nginx/1.18.0,404,0,39356,None,Express
Incapsula,301,1,37270,Imperva,Laravel
AWS,302,1,35358,AWS_WAF,React
BIG-IP,302,1,10135,F5_BIG_IP,Django
Apache/2.4.41,302,1,6359,None,React
BigIP,301,1,37808,F5_BIG_IP,Spring_Boot
Incapsula,403,1,9522,Imperva,React
nginx/1.18.0,403,1,12615,ModSecurity,ASP.NET
Microsoft-IIS/10.0,404,0,21186,None,React
LiteSpeed,404,0,38090,None,Node.js
BIG-IP,302,1,30578,F5_BIG_IP,Spring_Boot
BigIP,500,1,39332,F5_BIG_IP,Laravel
nginx/1.18.0,500,0,19616,None,Vue
Sucuri/Cloudproxy,301,1,1741,Sucuri,Unknown
BIG-IP,403,1,11729,F5_BIG_IP,ASP.NET
Sucuri/Cloudproxy,500,1,7591,Sucuri,Vue
cloudflare-nginx,200,1,16257,Cloudflare,Laravel
BigIP,403,1,26301,F5_BIG_IP,WordPress
cloudflare-nginx,403,1,36811,Cloudflare,Laravel
AWS,500,1,29915,AWS_WAF,Spring_Boot
cloudflare-nginx,302,1,16806,Cloudflare,ASP.NET
Apache/2.4.41,200,0,43013,None,React
cloudflare-nginx,403,1,29671,Cloudflare,Vue
Apache/2.4.41,500,0,7129,None,Django
cloudflare-nginx,403,1,12405,Cloudflare,React
LiteSpeed,404,0,20464,None,ASP.NET
Sucuri/Cloudproxy,403,1,12629,Sucuri,Node.js
AWS,200,1,46334,AWS_WAF,Node.js
cloudflare-nginx,403,1,26310,Cloudflare,Node.js
AmazonS3,403,1,12855,AWS_WAF,Express
cloudflare,404,1,10840,Cloudflare,Django
Sucuri/Cloudproxy,403,1,16706,Sucuri,Express
Sucuri/Cloudproxy,302,1,9466,Sucuri,React
cloudflare,404,1,14755,Cloudflare,Laravel
Microsoft-IIS/10.0,200,0,11297,None,Express
Incapsula,404,1,21407,Imperva,WordPress
Apache/2.4.41 (Ubuntu),404,1,49226,ModSecurity,Laravel
cloudflare,403,1,10016,Cloudflare,WordPress
AmazonS3,403,1,10328,AWS_WAF,Express
cloudflare,403,1,15662,Cloudflare,Spring_Boot
nginx/1.18.0,200,1,6048,ModSecurity,Django
Sucuri/Cloudproxy,500,1,42695,Sucuri,WordPress
cloudflare-nginx,500,1,30619,Cloudflare,Express
Sucuri/Cloudproxy,200,1,42058,Sucuri,Spring_Boot
Sucuri/Cloudproxy,500,1,36164,Sucuri,Laravel
nginx/1.18.0,500,1,25047,ModSecurity,ASP.NET
nginx/1.18.0,403,1,21865,ModSecurity,Express
Sucuri/Cloudproxy,301,1,18020,Sucuri,ASP.NET
Sucuri/Cloudproxy,500,1,31893,Sucuri,Express
Sucuri/Cloudproxy,302,1,18999,Sucuri,Django
Incapsula,404,1,39004,Imperva,Node.js
Sucuri/Cloudproxy,200,1,45426,Sucuri,Spring_Boot
AWS,404,1,32392,AWS_WAF,Unknown
cloudflare-nginx,200,1,7322,Cloudflare,React
Apache/2.4.41,301,0,46127,None,Node.js
Microsoft-IIS/10.0,404,0,2988,None,WordPress
nginx/1.18.0,302,1,39250,ModSecurity,ASP.NET
CloudFront,403,1,17135,AWS_WAF,Django
CloudFront,403,1,11070,AWS_WAF,Unknown
Apache/2.4.41,200,0,21662,None,Spring_Boot
BigIP,301,1,34249,F5_BIG_IP,ASP.NET
cloudflare,403,1,33851,Cloudflare,Spring_Boot
Sucuri/Cloudproxy,403,1,12947,Sucuri,React
Apache/2.4.41 (Ubuntu),200,1,4100,ModSecurity,Django
BIG-IP,500,1,40228,F5_BIG_IP,Django
Incapsula,500,1,33941,Imperva,Express
cloudflare,301,1,30181,Cloudflare,Django
cloudflare,403,1,46086,Cloudflare,WordPress
Incapsula,301,1,44128,Imperva,Vue
nginx/1.18.0,404,1,36845,ModSecurity,Unknown
Incapsula,500,1,12467,Imperva,Node.js
BIG-IP,403,1,29683,F5_BIG_IP,Express
Sucuri/Cloudproxy,403,1,36277,Sucuri,WordPress
CloudFront,404,1,9151,AWS_WAF,WordPress
AWS,302,1,6261,AWS_WAF,Unknown
AmazonS3,403,1,47164,AWS_WAF,ASP.NET
cloudflare,403,1,39973,Cloudflare,Node.js
AmazonS3,404,1,19979,AWS_WAF,Unknown
BigIP,403,1,13418,F5_BIG_IP,Laravel
AWS,301,1,12764,AWS_WAF,React
BigIP,404,1,2786,F5_BIG_IP,WordPress
Sucuri/Cloudproxy,403,1,10653,Sucuri,Node.js
AmazonS3,403,1,4203,AWS_WAF,Vue
nginx/1.18.0,404,1,35354,None,Laravel
BigIP,500,1,32137,F5_BIG_IP,Django
nginx/1.18.0,200,1,30275,ModSecurity,Express
Apache/2.4.41 (Ubuntu),404,1,5487,ModSecurity,Django
