framework,waf_type,recommended_tool,recommended_wordlist,recommended_extensions,recommended_threads,recommended_delay_ms
React,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.html,15,204
Unknown,AWS_WAF,ffuf,common.txt,.php,15,615
Unknown,Sucuri,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",42,0
Express,Sucuri,gobuster,directory-list-2.3-medium.txt,.php,50,0
Vue,AWS_WAF,ffuf,common.txt,.html,9,684
Spring_Boot,AWS_WAF,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",5,941
Unknown,Cloudflare,ffuf,directory-list-2.3-medium.txt,none,10,259
React,Sucuri,gobuster,directory-list-2.3-medium.txt,.html,47,0
Express,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,6,277
Laravel,Sucuri,feroxbuster,api-endpoints.txt,.json,32,0
Express,ModSecurity,gobuster,directory-list-2.3-medium.txt,.php,26,0
WordPress,Sucuri,gobuster,cms-wordpress.txt,.php,27,0
Node.js,ModSecurity,feroxbuster,api-endpoints.txt,.json,23,0
Unknown,Imperva,ffuf,common.txt,.html,11,557
Laravel,F5_BIG_IP,gobuster,api-endpoints.txt,.json,48,0
Django,None,feroxbuster,api-endpoints.txt,.json,41,0
React,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,.html,35,0
Laravel,Cloudflare,ffuf,api-endpoints.txt,.json,9,362
ASP.NET,Sucuri,gobuster,directory-list-2.3-medium.txt,.html,36,0
Vue,None,feroxbuster,common.txt,none,50,0
Django,F5_BIG_IP,gobuster,api-endpoints.txt,.json,22,0
ASP.NET,ModSecurity,gobuster,directory-list-2.3-medium.txt,none,44,0
React,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.php,29,0
Spring_Boot,None,gobuster,directory-list-2.3-medium.txt,.html,48,0
ASP.NET,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,none,26,0
Spring_Boot,Imperva,ffuf,common.txt,.php,15,690
ASP.NET,ModSecurity,gobuster,directory-list-2.3-medium.txt,.php,36,0
WordPress,Imperva,ffuf,cms-wordpress.txt,.php,12,553
Express,AWS_WAF,ffuf,common.txt,none,12,381
WordPress,ModSecurity,gobuster,cms-wordpress.txt,.php,34,0
Express,ModSecurity,gobuster,directory-list-2.3-medium.txt,.php,49,0
Vue,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,".bak,.old,.swp",31,0
React,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",21,0
Vue,F5_BIG_IP,feroxbuster,common.txt,.php,43,0
Spring_Boot,F5_BIG_IP,gobuster,common.txt,none,22,0
WordPress,Sucuri,feroxbuster,cms-wordpress.txt,.php,42,0
Laravel,Sucuri,feroxbuster,api-endpoints.txt,.json,27,0
WordPress,F5_BIG_IP,gobuster,cms-wordpress.txt,.php,36,0
Laravel,Imperva,ffuf,api-endpoints.txt,.json,13,605
ASP.NET,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,.html,32,0
Vue,None,gobuster,common.txt,".bak,.old,.swp",30,0
Laravel,Cloudflare,ffuf,api-endpoints.txt,.json,6,568
Laravel,ModSecurity,gobuster,api-endpoints.txt,.json,34,0
Unknown,AWS_WAF,ffuf,directory-list-2.3-medium.txt,none,7,510
Spring_Boot,None,feroxbuster,directory-list-2.3-medium.txt,.html,42,0
Spring_Boot,None,gobuster,common.txt,".bak,.old,.swp",31,0
Laravel,ModSecurity,feroxbuster,api-endpoints.txt,.json,33,0
WordPress,None,feroxbuster,cms-wordpress.txt,.php,27,0
ASP.NET,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,8,584
React,AWS_WAF,ffuf,common.txt,none,14,878
Unknown,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.html,24,0
Vue,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,.php,44,0
Django,ModSecurity,feroxbuster,api-endpoints.txt,.json,44,0
React,Imperva,ffuf,common.txt,.html,14,502
React,Cloudflare,ffuf,directory-list-2.3-medium.txt,none,12,564
Laravel,Cloudflare,ffuf,api-endpoints.txt,.json,8,308
Node.js,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,35,0
Django,Imperva,ffuf,api-endpoints.txt,.json,13,628
Unknown,F5_BIG_IP,feroxbuster,common.txt,".bak,.old,.swp",22,0
Django,Imperva,ffuf,api-endpoints.txt,.json,11,670
Node.js,Sucuri,feroxbuster,api-endpoints.txt,.json,20,0
ASP.NET,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.html,7,650
Laravel,Imperva,ffuf,api-endpoints.txt,.json,13,573
Laravel,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,30,0
Spring_Boot,None,feroxbuster,common.txt,.html,46,0
Django,ModSecurity,gobuster,api-endpoints.txt,.json,41,0
Django,ModSecurity,feroxbuster,api-endpoints.txt,.json,45,0
Django,Imperva,ffuf,api-endpoints.txt,.json,5,473
ASP.NET,None,gobuster,common.txt,".bak,.old,.swp",31,0
ASP.NET,ModSecurity,feroxbuster,common.txt,.html,39,0
Unknown,Cloudflare,ffuf,directory-list-2.3-medium.txt,.php,7,910
React,F5_BIG_IP,gobuster,common.txt,.html,25,0
Vue,None,gobuster,common.txt,none,34,0
React,None,gobuster,directory-list-2.3-medium.txt,".bak,.old,.swp",22,0
Laravel,None,feroxbuster,api-endpoints.txt,.json,42,0
Express,Imperva,ffuf,common.txt,none,8,333
React,ModSecurity,gobuster,directory-list-2.3-medium.txt,".bak,.old,.swp",33,0
Unknown,ModSecurity,gobuster,directory-list-2.3-medium.txt,.html,29,0
Vue,F5_BIG_IP,feroxbuster,common.txt,".bak,.old,.swp",38,0
Laravel,None,gobuster,api-endpoints.txt,.json,44,0
Laravel,None,feroxbuster,api-endpoints.txt,.json,26,0
Node.js,None,gobuster,api-endpoints.txt,.json,43,0
Unknown,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,14,992
Express,Cloudflare,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",11,908
Django,F5_BIG_IP,gobuster,api-endpoints.txt,.json,23,0
Unknown,Imperva,ffuf,common.txt,.php,10,585
Vue,ModSecurity,feroxbuster,common.txt,none,34,0
Django,AWS_WAF,ffuf,api-endpoints.txt,.json,12,843
React,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",46,0
Django,F5_BIG_IP,gobuster,api-endpoints.txt,.json,35,0
React,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,.php,49,0
React,Imperva,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",8,421
Node.js,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,50,0
Laravel,Cloudflare,ffuf,api-endpoints.txt,.json,7,491
Unknown,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.php,7,865
Spring_Boot,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,.php,24,0
Express,Sucuri,feroxbuster,directory-list-2.3-medium.txt,none,32,0
ASP.NET,F5_BIG_IP,gobuster,common.txt,".bak,.old,.swp",30,0
React,Imperva,ffuf,common.txt,.php,15,373
Node.js,AWS_WAF,ffuf,api-endpoints.txt,.json,6,598
Laravel,None,feroxbuster,api-endpoints.txt,.json,45,0
Node.js,Cloudflare,ffuf,api-endpoints.txt,.json,8,374
Laravel,Imperva,ffuf,api-endpoints.txt,.json,10,218
Laravel,Sucuri,feroxbuster,api-endpoints.txt,.json,49,0
Spring_Boot,None,feroxbuster,common.txt,".bak,.old,.swp",31,0
Express,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",33,0
Vue,ModSecurity,gobuster,directory-list-2.3-medium.txt,.php,22,0
Laravel,ModSecurity,gobuster,api-endpoints.txt,.json,32,0
Django,None,gobuster,api-endpoints.txt,.json,29,0
Django,Sucuri,gobuster,api-endpoints.txt,.json,31,0
WordPress,F5_BIG_IP,feroxbuster,cms-wordpress.txt,.php,45,0
Spring_Boot,Imperva,ffuf,common.txt,.php,8,436
Spring_Boot,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,.html,26,0
ASP.NET,Cloudflare,ffuf,common.txt,.html,15,977
Vue,AWS_WAF,ffuf,common.txt,none,12,546
ASP.NET,AWS_WAF,ffuf,common.txt,".bak,.old,.swp",7,546
React,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.php,11,259
Unknown,ModSecurity,gobuster,common.txt,none,23,0
Node.js,ModSecurity,gobuster,api-endpoints.txt,.json,36,0
ASP.NET,Cloudflare,ffuf,common.txt,none,12,871
Node.js,AWS_WAF,ffuf,api-endpoints.txt,.json,5,674
Spring_Boot,AWS_WAF,ffuf,common.txt,".bak,.old,.swp",8,911
Node.js,Cloudflare,ffuf,api-endpoints.txt,.json,10,857
Django,Imperva,ffuf,api-endpoints.txt,.json,8,273
Vue,ModSecurity,feroxbuster,common.txt,none,38,0
Django,Sucuri,gobuster,api-endpoints.txt,.json,43,0
React,AWS_WAF,ffuf,common.txt,".bak,.old,.swp",14,820
Django,Cloudflare,ffuf,api-endpoints.txt,.json,8,667
Unknown,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.html,32,0
Laravel,None,feroxbuster,api-endpoints.txt,.json,37,0
WordPress,ModSecurity,gobuster,cms-wordpress.txt,.php,36,0
Spring_Boot,Sucuri,gobuster,common.txt,.html,26,0
Unknown,AWS_WAF,ffuf,directory-list-2.3-medium.txt,none,7,877
Spring_Boot,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.html,38,0
Django,Sucuri,gobuster,api-endpoints.txt,.json,42,0
Unknown,ModSecurity,feroxbuster,common.txt,.php,44,0
WordPress,ModSecurity,feroxbuster,cms-wordpress.txt,.php,32,0
ASP.NET,None,feroxbuster,directory-list-2.3-medium.txt,none,23,0
Spring_Boot,F5_BIG_IP,gobuster,common.txt,none,41,0
Django,None,feroxbuster,api-endpoints.txt,.json,49,0
ASP.NET,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.php,30,0
Laravel,Cloudflare,ffuf,api-endpoints.txt,.json,10,481
Express,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,.html,23,0
React,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,.php,24,0
React,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,.php,48,0
Express,ModSecurity,gobuster,common.txt,.html,35,0
Unknown,ModSecurity,gobuster,common.txt,.php,32,0
Unknown,F5_BIG_IP,gobuster,common.txt,.php,41,0
ASP.NET,Sucuri,gobuster,common.txt,none,27,0
ASP.NET,None,gobuster,common.txt,.php,49,0
Django,F5_BIG_IP,gobuster,api-endpoints.txt,.json,29,0
Spring_Boot,Cloudflare,ffuf,directory-list-2.3-medium.txt,.php,12,350
Vue,ModSecurity,gobuster,directory-list-2.3-medium.txt,.php,22,0
React,None,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",47,0
Vue,Cloudflare,ffuf,common.txt,.html,15,985
Laravel,AWS_WAF,ffuf,api-endpoints.txt,.json,8,273
Unknown,Imperva,ffuf,common.txt,".bak,.old,.swp",11,994
Unknown,F5_BIG_IP,gobuster,common.txt,.html,50,0
Laravel,ModSecurity,gobuster,api-endpoints.txt,.json,29,0
WordPress,Sucuri,gobuster,cms-wordpress.txt,.php,49,0
WordPress,F5_BIG_IP,feroxbuster,cms-wordpress.txt,.php,29,0
Laravel,ModSecurity,feroxbuster,api-endpoints.txt,.json,40,0
Django,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,24,0
Spring_Boot,Sucuri,gobuster,common.txt,.html,33,0
Django,F5_BIG_IP,gobuster,api-endpoints.txt,.json,30,0
React,Sucuri,feroxbuster,directory-list-2.3-medium.txt,none,50,0
React,ModSecurity,gobuster,common.txt,none,42,0
WordPress,None,feroxbuster,cms-wordpress.txt,.php,38,0
React,Imperva,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",6,451
React,Cloudflare,ffuf,directory-list-2.3-medium.txt,.php,10,989
Django,Cloudflare,ffuf,api-endpoints.txt,.json,11,719
Unknown,Cloudflare,ffuf,common.txt,".bak,.old,.swp",13,410
Unknown,F5_BIG_IP,feroxbuster,common.txt,none,29,0
WordPress,Cloudflare,ffuf,cms-wordpress.txt,.php,7,697
Unknown,Sucuri,gobuster,directory-list-2.3-medium.txt,.php,46,0
ASP.NET,F5_BIG_IP,gobuster,common.txt,.html,38,0
React,Imperva,ffuf,common.txt,".bak,.old,.swp",6,559
Spring_Boot,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.html,40,0
Unknown,Cloudflare,ffuf,directory-list-2.3-medium.txt,.php,11,517
Node.js,Imperva,ffuf,api-endpoints.txt,.json,7,609
React,Cloudflare,ffuf,directory-list-2.3-medium.txt,none,6,621
Express,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.html,6,334
Django,Sucuri,gobuster,api-endpoints.txt,.json,41,0
Django,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,46,0
Spring_Boot,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,11,830
Laravel,None,gobuster,api-endpoints.txt,.json,32,0
Django,Sucuri,gobuster,api-endpoints.txt,.json,27,0
Vue,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,5,370
React,Imperva,ffuf,common.txt,none,7,490
Express,Imperva,ffuf,directory-list-2.3-medium.txt,.php,9,398
Django,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,44,0
Spring_Boot,Sucuri,gobuster,directory-list-2.3-medium.txt,.html,49,0
Node.js,None,gobuster,api-endpoints.txt,.json,37,0
Laravel,Sucuri,gobuster,api-endpoints.txt,.json,49,0
Spring_Boot,Cloudflare,ffuf,common.txt,".bak,.old,.swp",8,764
Node.js,Sucuri,feroxbuster,api-endpoints.txt,.json,24,0
ASP.NET,F5_BIG_IP,feroxbuster,common.txt,.php,47,0
Express,Imperva,ffuf,common.txt,none,5,359
Django,Cloudflare,ffuf,api-endpoints.txt,.json,10,944
Express,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,.html,22,0
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,10,474
Laravel,Imperva,ffuf,api-endpoints.txt,.json,9,818
Express,F5_BIG_IP,feroxbuster,common.txt,none,23,0
Django,Cloudflare,ffuf,api-endpoints.txt,.json,6,299
React,Sucuri,feroxbuster,common.txt,.html,48,0
Unknown,None,gobuster,directory-list-2.3-medium.txt,.php,29,0
ASP.NET,None,feroxbuster,common.txt,.html,46,0
Vue,Cloudflare,ffuf,common.txt,.html,14,432
Spring_Boot,None,gobuster,directory-list-2.3-medium.txt,.php,32,0
ASP.NET,Cloudflare,ffuf,common.txt,.php,9,296
