port,port_state,protocol,rtt_ms,ttl,os_fingerprint,banner_text,icmp_blocked,rst_received,filtered_port_count,open_port_count,total_ports_scanned,firewall_present,firewall_type,best_bypass_flag
53,open,tcp,372.07,60,Linux 4.x/5.x,nginx/1.18.0,1,0,55,1,100,1,aws_waf,fragment
143,open,tcp,255.15,55,Unknown,OpenSSH_8.2p1,0,0,2,5,100,0,none,connect_scan
8080,filtered,tcp,380.61,52,Windows 10,OpenSSH_8.2p1,0,0,89,6,100,1,ids_ips,connect_scan
445,open,tcp,52.87,118,Unknown,nginx/1.18.0,0,1,0,7,100,0,none,connect_scan
5432,open,tcp,415.56,240,Linux 4.x/5.x,Apache/2.4.41,0,0,5,5,100,0,none,connect_scan
8443,open,tcp,433.91,123,Cisco IOS,OpenSSH_8.2p1,0,0,8,4,100,0,none,connect_scan
110,filtered,tcp,468.64,253,Windows 10,OpenSSH_8.2p1,1,0,62,5,100,1,aws_waf,decoy_scan
443,open,tcp,113.71,114,Unknown,ProFTPD 1.3.5,1,0,80,10,100,1,aws_waf,fragment
8443,filtered,tcp,329.44,113,Windows 10,OpenSSH_8.2p1,0,0,64,9,100,1,aws_waf,decoy_scan
5432,filtered,tcp,217.07,248,Windows 10,nginx/1.18.0,1,0,83,1,100,1,pf_bsd,connect_scan
25,filtered,tcp,315.59,248,Unknown,nginx/1.18.0,1,0,54,9,100,1,ids_ips,connect_scan
445,filtered,tcp,341.74,53,Cisco IOS,Apache/2.4.41,1,0,92,3,100,1,ids_ips,connect_scan
53,open,tcp,362.44,250,Windows 10,OpenSSH_8.2p1,1,0,50,3,100,1,cisco_acl,dns_source_port
27017,filtered,tcp,461.6,54,Cisco IOS,ProFTPD 1.3.5,1,0,92,4,100,1,cloudflare,stealth_syn
80,filtered,tcp,47.4,114,Unknown,nginx/1.18.0,1,0,92,9,100,1,cloudflare,dns_source_port
143,filtered,tcp,482.36,242,Unknown,,1,0,77,8,100,1,ids_ips,connect_scan
443,filtered,tcp,127.71,58,Linux 4.x/5.x,Apache/2.4.41,0,0,70,1,100,1,cloudflare,dns_source_port
443,filtered,tcp,20.55,126,Unknown,OpenSSH_8.2p1,1,0,53,10,100,1,iptables,xmas_scan
53,filtered,tcp,393.39,124,Cisco IOS,MariaDB 10.6,1,0,71,1,100,1,cloudflare,dns_source_port
3306,open,tcp,324.86,57,Windows 10,OpenSSH_8.2p1,1,0,79,3,100,1,aws_waf,decoy_scan
22,open,tcp,234.0,56,Linux 4.x/5.x,Apache/2.4.41,0,0,58,4,100,1,cisco_acl,dns_source_port
110,filtered,tcp,243.27,113,Unknown,ProFTPD 1.3.5,0,0,68,8,100,1,iptables,null_scan
27017,filtered,tcp,478.87,244,Cisco IOS,OpenSSH_8.2p1,0,0,69,10,100,1,pf_bsd,connect_scan
27017,filtered,tcp,375.25,63,Windows 10,Apache/2.4.41,0,0,74,2,100,1,aws_waf,decoy_scan
443,filtered,tcp,299.54,241,Windows 10,nginx/1.18.0,1,0,58,10,100,1,ids_ips,connect_scan
445,open,tcp,293.92,249,Cisco IOS,OpenSSH_8.2p1,0,0,4,3,100,0,none,connect_scan
53,filtered,tcp,231.33,63,Windows 10,nginx/1.18.0,1,0,79,6,100,1,aws_waf,slow_scan
1433,open,tcp,187.92,56,Linux 4.x/5.x,,0,0,8,5,100,0,none,connect_scan
80,filtered,tcp,439.67,126,Windows 10,,1,0,54,5,100,1,aws_waf,fragment
8080,closed,tcp,453.14,62,Cisco IOS,OpenSSH_8.2p1,1,0,71,5,100,1,cloudflare,fragment
53,filtered,tcp,278.08,119,Windows 10,nginx/1.18.0,1,0,83,6,100,1,iptables,null_scan
22,open,tcp,217.74,59,Windows 10,,1,0,74,9,100,1,cloudflare,stealth_syn
443,open,tcp,312.23,49,Windows 10,MariaDB 10.6,1,0,68,6,100,1,ids_ips,connect_scan
