port,protocol,banner_text,service_label
513,tcp,,unknown
443,tcp,,https
514,tcp,,unknown
27017,tcp,ismaster,unknown
111,tcp,,unknown
873,tcp,,unknown
5900,tcp,RFB 003.008,unknown
1521,tcp,Oracle TNS Listener,unknown
8888,tcp,,unknown
445,tcp,,unknown
513,tcp,,unknown
5900,tcp,RealVNC,unknown
110,tcp,+OK POP3 ready,pop3
5432,tcp,PostgreSQL 14.2,postgresql
443,tcp,LiteSpeed,https
2049,tcp,,nfs
513,tcp,,unknown
3306,tcp,MariaDB 10.6,mysql
139,tcp,,unknown
445,tcp,Windows SMB,unknown
4444,tcp,,unknown
1433,tcp,Microsoft SQL Server 2019,unknown
8080,tcp,Tomcat/9.0,http
8080,tcp,Apache/2.4.41,http
3306,tcp,MySQL 5.7.38,mysql
1433,tcp,Microsoft SQL Server 2019,unknown
873,tcp,,unknown
80,tcp,LiteSpeed,http
27017,tcp,MongoDB 6.0,unknown
27017,tcp,MongoDB 6.0,unknown
5432,tcp,PostgreSQL 14.2,postgresql
5432,tcp,PostgreSQL 14.2,postgresql
53,tcp,,unknown
873,tcp,,unknown
445,tcp,,unknown
514,tcp,,unknown
1521,tcp,Oracle TNS Listener,unknown
873,tcp,,unknown
110,tcp,+OK Dovecot,pop3
443,tcp,Apache/2.4.41,https
514,tcp,,unknown
5432,tcp,PostgreSQL 14.2,postgresql
25,tcp,Sendmail 8.15,smtp
514,tcp,,unknown
5900,tcp,RFB 003.008,unknown
8443,tcp,Apache/2.4.41,unknown
5432,tcp,PostgreSQL 14.2,postgresql
143,tcp,* OK [CAPABILITY IMAP4rev1],imap
80,tcp,LiteSpeed,http
443,tcp,LiteSpeed,https
873,tcp,,unknown
6379,tcp,Redis server v=7.0.4,redis
143,tcp,Dovecot IMAP,imap
445,tcp,Samba,unknown
111,tcp,,unknown
873,tcp,,unknown
514,tcp,,unknown
3306,tcp,MySQL 5.7.38,mysql
8443,tcp,Apache/2.4.41,unknown
25,tcp,Postfix ESMTP,smtp
873,tcp,,unknown
2049,tcp,,nfs
445,tcp,Samba,unknown
443,tcp,nginx/1.18.0,https
2049,tcp,,nfs
4444,tcp,,unknown
80,tcp,,http
445,tcp,,unknown
443,tcp,LiteSpeed,https
53,tcp,,unknown
