port,service_name,banner_text,os_fingerprint,vuln_score
69,Unknown,,Cisco IOS,3.28
445,SMB,Samba,Linux 4.x/5.x,6.82
5900,VNC,RFB 003.008,Linux 3.x,7.49
443,Apache,,macOS 12,6.66
110,Unknown,+OK POP3 ready,Linux 4.x/5.x,4.13
111,Unknown,,Windows Server 2019,3.68
139,SMB,,Linux 4.x/5.x,7.72
1521,Unknown,Oracle TNS Listener,Windows Server 2019,2.63
5432,PostgreSQL,PostgreSQL 14.2,Cisco IOS,4.78
8080,Tomcat,nginx/1.18.0,Unknown,7.84
1521,Unknown,Oracle TNS Listener,Cisco IOS,1.44
443,LiteSpeed,,Unknown,5.12
513,Unknown,,Linux 3.x,4.83
4444,Unknown,,macOS 12,1.05
3306,MariaDB,MariaDB 10.6,macOS 12,3.06
4444,Unknown,,FreeBSD 13,6.55
143,Unknown,* OK [CAPABILITY IMAP4rev1],Windows 10,3.63
443,LiteSpeed,LiteSpeed,Linux 4.x/5.x,3.81
4444,Unknown,,Windows 10,2.02
110,Unknown,+OK Dovecot,Linux 3.x,3.29
143,Unknown,* OK [CAPABILITY IMAP4rev1],Windows 10,5.08
8888,Unknown,,FreeBSD 13,0.0
69,Unknown,,Windows 10,2.2
8080,Apache,Tomcat/9.0,macOS 12,9.81
111,Unknown,,Unknown,4.65
53,Unknown,,Linux 4.x/5.x,4.48
143,Unknown,* OK [CAPABILITY IMAP4rev1],FreeBSD 13,3.82
143,Unknown,Dovecot IMAP,FreeBSD 13,3.62
873,Unknown,,Windows 10,2.06
23,Telnet,,Linux 3.x,9.22
8888,Unknown,,Windows 10,4.61
25,Exim,Exim 4.95,Linux 4.x/5.x,7.19
69,Unknown,,Cisco IOS,3.57
8080,Apache,Apache/2.4.41,Unknown,6.8
8080,Tomcat,Apache/2.4.41,Windows 10,10.0
1521,Unknown,Oracle TNS Listener,Windows 10,2.68
445,SMB,Windows SMB,Linux 4.x/5.x,10.0
53,Unknown,,macOS 12,4.41
5900,VNC,RealVNC,FreeBSD 13,7.32
443,Apache,,Cisco IOS,4.01
110,Unknown,+OK POP3 ready,Windows Server 2019,2.89
4444,Unknown,,Linux 4.x/5.x,4.8
3389,RDP,,macOS 12,6.66
22,OpenSSH,OpenSSH_8.2p1,macOS 12,6.67
443,nginx,nginx/1.18.0,FreeBSD 13,7.92
4444,Unknown,,FreeBSD 13,3.19
143,Unknown,Dovecot IMAP,Cisco IOS,4.83
2049,Unknown,,Windows Server 2019,3.28
1433,Unknown,,Linux 4.x/5.x,4.14
2049,Unknown,,Windows Server 2019,5.99
5900,VNC,RealVNC,Linux 3.x,5.17
5432,PostgreSQL,PostgreSQL 14.2,Windows 10,3.08
21,ProFTPD,Pure-FTPd,Linux 4.x/5.x,10.0
1433,Unknown,Microsoft SQL Server 2019,Linux 4.x/5.x,5.87
514,Unknown,,Linux 3.x,0.18
21,vsftpd,Pure-FTPd,Unknown,7.34
4444,Unknown,,Linux 4.x/5.x,0.0
27017,MongoDB,ismaster,Cisco IOS,8.63
512,Unknown,,Cisco IOS,3.44
25,Postfix,Microsoft ESMTP,FreeBSD 13,3.62
1433,Unknown,Microsoft SQL Server 2019,Windows Server 2019,1.66
1521,Unknown,Oracle TNS Listener,Windows Server 2019,1.73
139,SMB,Samba,Linux 4.x/5.x,8.8
25,Exim,Postfix ESMTP,Linux 4.x/5.x,10.0
443,Apache,nginx/1.18.0,Cisco IOS,8.15
513,Unknown,,Windows 10,5.87
445,SMB,Samba,Cisco IOS,8.68
80,LiteSpeed,,Linux 4.x/5.x,4.85
4444,Unknown,,FreeBSD 13,0.86
111,Unknown,,Unknown,2.44
1433,Unknown,,Linux 3.x,1.9
443,nginx,,Cisco IOS,6.38
3306,MySQL,MySQL 5.7.38,Linux 3.x,4.23
5900,VNC,RealVNC,Cisco IOS,6.24
143,Unknown,* OK [CAPABILITY IMAP4rev1],Windows 10,3.79
69,Unknown,,Linux 4.x/5.x,2.89
6379,Redis,Redis server v=7.0.4,Cisco IOS,6.95
1521,Unknown,Oracle TNS Listener,Linux 4.x/5.x,1.31
21,vsftpd,vsftpd 3.0.3,macOS 12,3.95
8443,Unknown,nginx/1.18.0,Cisco IOS,4.63
512,Unknown,,Windows 10,3.84
513,Unknown,,Linux 4.x/5.x,1.49
8888,Unknown,,Windows 10,1.57
2049,Unknown,,Unknown,0.71
69,Unknown,,Unknown,2.21
512,Unknown,,Windows 10,3.25
22,Dropbear,OpenSSH_8.2p1,Cisco IOS,2.68
8443,Unknown,Apache/2.4.41,Cisco IOS,7.37
23,Telnet,,Cisco IOS,9.81
8443,Unknown,nginx/1.18.0,Windows 10,2.94
1521,Unknown,Oracle TNS Listener,Linux 4.x/5.x,3.17
80,Apache,,Windows Server 2019,3.72
69,Unknown,,Windows 10,0.6
873,Unknown,,Windows 10,5.65
445,SMB,Windows SMB,FreeBSD 13,10.0
25,Exim,Exim 4.95,FreeBSD 13,4.68
27017,MongoDB,ismaster,Windows 10,8.35
8888,Unknown,,Windows 10,5.76
5432,PostgreSQL,PostgreSQL 14.2,FreeBSD 13,3.59
1433,Unknown,Microsoft SQL Server 2019,Linux 3.x,6.04
8080,Apache,Apache/2.4.41,Cisco IOS,8.03
80,nginx,Apache/2.4.41,Linux 3.x,6.31
513,Unknown,,Linux 3.x,2.51
111,Unknown,,FreeBSD 13,3.18
69,Unknown,,Linux 3.x,2.11
514,Unknown,,Windows 10,3.59
6379,Redis,+OK,Linux 4.x/5.x,8.38
3389,RDP,Microsoft Terminal Services,Unknown,7.85
5900,VNC,RFB 003.008,macOS 12,4.58
445,SMB,Samba,FreeBSD 13,8.81
25,Exim,Exim 4.95,Linux 3.x,6.47
873,Unknown,,Linux 4.x/5.x,0.76
445,SMB,Windows SMB,Windows Server 2019,8.31
69,Unknown,,Cisco IOS,4.65
443,nginx,Apache/2.4.41,Linux 3.x,3.5
110,Unknown,+OK Dovecot,Windows Server 2019,1.23
111,Unknown,,macOS 12,4.41
513,Unknown,,FreeBSD 13,1.47
1433,Unknown,Microsoft SQL Server 2019,macOS 12,0.75
512,Unknown,,Linux 4.x/5.x,4.62
443,Apache,nginx/1.18.0,macOS 12,6.24
25,Exim,Exim 4.95,Cisco IOS,8.1
111,Unknown,,Cisco IOS,2.55
111,Unknown,,Linux 3.x,3.85
143,Unknown,* OK [CAPABILITY IMAP4rev1],Linux 4.x/5.x,4.37
139,SMB,Samba,Unknown,8.88
4444,Unknown,,Windows Server 2019,0.0
23,Telnet,,Windows Server 2019,9.65
22,OpenSSH,OpenSSH_8.2p1,FreeBSD 13,4.32
6379,Redis,+OK,FreeBSD 13,9.29
27017,MongoDB,MongoDB 6.0,Linux 3.x,5.89
110,Unknown,+OK Dovecot,FreeBSD 13,2.37
445,SMB,Samba,macOS 12,7.52
27017,MongoDB,ismaster,Windows Server 2019,8.91
139,SMB,,Linux 4.x/5.x,10.0
512,Unknown,,Windows Server 2019,2.02
2049,Unknown,,FreeBSD 13,2.61
513,Unknown,,macOS 12,1.38
